Feature,Importance Fold 0,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Average Importance
GDP,0.4655628706442173,0.6896894176744213,0.4828268086930068,0.3880631500312383,0.5764062720346719,0.5205097038155111
socialSupport,0.2477582870012009,0.23323083517294804,0.22962274774987898,0.2103555101069862,0.20063898411717734,0.2243212728296383
corruption,0.08662681657125385,0.08177781364949668,0.08741289316812986,0.08779993268675679,0.08468966445477644,0.08566142410608273
freedom,0.05433998093101113,0.053773253721378776,0.06393036874237897,0.08674559935341375,0.05803085537251129,0.06336401162413878
generosity,0.07927783771508727,0.061784117109869974,0.04597466259387659,0.04246521345634637,0.0551064095025444,0.05692164807554493
country_Hong Kong S.A.R. of China,0.04154285845811776,0.0,0.06494531076767347,0.08462753207773857,0.08689099640744218,0.05560133954219439
country_Singapore,0.09738020467330215,0.0,0.017951428968786143,0.06603121517562985,0.08493830595472618,0.05326023095448886
country_Ireland,0.030321611760778765,0.04218271223895063,0.09998002277513665,0.04169274913003331,0.033235983368464964,0.04948261585467286
country_Luxembourg,0.0,0.03612704614321651,0.11044774930480199,0.035546322393396904,0.0480828882881396,0.046040801225911
country_Estonia,0.06987433521608102,0.025676949531248994,0.03480306811911697,0.05874817340991965,0.03821246631600235,0.045462998518473796
year,0.052315063145355965,0.045006304098884974,0.04330481923833622,0.037087018827093796,0.04731668170188128,0.045005977402310444
country_Japan,0.04224104642557647,0.04491146945868556,0.01853440045210477,0.042546114058727325,0.04407691282746826,0.038461988644512474
country_United Arab Emirates,0.02836107138900621,0.05136210575603828,0.04891486754755312,0.023669762772716263,0.0303563837047512,0.03653283823401301
country_United Kingdom,0.033653091370303256,0.025813029008498068,0.04697627368007433,0.028613290615888888,0.03401427690510088,0.03381399231597308
country_Germany,0.012007955010184345,0.04087189538039611,0.029370281219913787,0.020901375078994654,0.06437099868803672,0.03350450107550512
country_Malta,0.059169117059665835,0.020909469224314935,0.029787513698584255,0.0314677077659256,0.025149923124484053,0.03329674617459494
country_Bahrain,0.035587571423268585,0.04505943569697764,0.03460170695540297,0.02107047837244913,0.029003987141589117,0.033064635917937485
country_Slovenia,0.02006414267560459,0.03491463624506519,0.058490706510126576,0.03434382673485057,0.01014473205833315,0.03159160884479602
country_Australia,0.01401747307960539,0.0423644310270475,0.03112289616578403,0.06712843634284019,0.0,0.030926647323055424
country_Bulgaria,0.015543838776446828,0.05496524259895077,0.020501340461716543,0.03069999575313327,0.028186175163719997,0.02997931855079348
